	TCGA-BT-A20N	TCGA-BT-A20Q
ANKRD13D	569.5538	687.2792
ANKRD16	89.2388	109.5406
ANKRD17	2195.9755	1936.3958
ANKRD19	41.9948	34.4523
ANKRD1	222.2222	0.8834
ANKRD20A3	6.1242	2.6502
ANKRD20A4	5.2493	0.8834
ANKRD20B	3.4996	3.5336
ANKRD22	2.6247	0.0
ANKRD23	22.7472	41.5194
ANKRD24	17.4978	22.9682
ANKRD26P1	1.7498	0.0
ANKRD26	244.0945	163.4276
ANKRD27	2517.0604	2403.7102
ANKRD28	629.9213	646.6431
ANKRD29	242.3447	236.7491
ANKRD2	2.6247	0.8834
ANKRD30A	0.0	0.0
ANKRD30B	0.8749	0.0
ANKRD31	0.0	0.0
ANKRD32	31.4961	61.8375
ANKRD33	0.8749	0.0
ANKRD34A	75.2406	114.841
ANKRD34B	0.0	0.0
ANKRD34C	0.0	0.0
ANKRD35	335.958	383.3922
ANKRD36BP1	82.2397	82.1555
ANKRD36B	18.3727	11.4841
ANKRD36	93.6133	77.7385
ANKRD37	279.3876	79.6996
ANKRD39	159.2301	190.8127
ANKRD40	2946.6317	2969.0813
ANKRD42	219.5976	265.9011
ANKRD43	0.8749	0.0
ANKRD44	141.7323	201.4134
ANKRD45	4.3745	0.8834
ANKRD46	391.951	422.2615
ANKRD49	155.7305	270.318
ANKRD50	1982.5022	1180.212
ANKRD52	1692.0385	1392.2261
ANKRD53	32.371	24.735
ANKRD54	442.6947	606.8905
ANKRD55	2.6247	0.0
ANKRD56	0.0	0.8834
ANKRD57	902.8871	786.2191
ANKRD58	6.9991	0.8834
ANKRD5	23.622	21.2014
ANKRD6	296.9204	420.6802
ANKRD7	2.6247	0.8834
ANKRD9	79.615	54.7703
ANKS1A	3783.0271	4985.8657
ANKS1B	209.9738	272.9682
ANKS3	239.72	293.2862
ANKS4B	0.0	7.0671
ANKS6	441.8198	461.1307
ANKZF1	321.0849	391.3428
ANLN	308.8364	175.7951
ANO10	747.1566	694.3463
ANO1	109.3613	347.1731
ANO2	9.6238	4.417
ANO3	1.7498	0.0
ANO4	7.874	49.47
ANO5	776.9029	648.4099
ANO6	7774.2782	7097.1731
ANO7	14.8731	1.7668
ANO8	89.2388	67.1378
ANO9	10.4987	0.0
ANP32A	1559.93	2163.4276
ANP32B	3006.9991	3580.3887
ANP32C	1.7498	1.7668
ANP32D	0.0	0.0
ANP32E	1504.8119	1601.5901
ANPEP	276.4654	209.364
ANTXR1	6750.6562	4859.5406
ANTXR2	13604.5494	11515.9011
ANTXRL	0.0	0.0
ANUBL1	81.3648	114.841
ANXA10	0.8749	0.0
ANXA11	5069.9913	6495.583
ANXA13	8.7489	0.8834
ANXA1	3665.7918	4866.6078
ANXA2P1	29.7463	36.2191
ANXA2P2	2159.2301	2466.4311
ANXA2P3	4.3745	6.1837
ANXA2	6048.119	7026.5018
ANXA3	83.9895	69.788
ANXA4	952.7559	1354.2403
ANXA5	7349.9563	9351.5901
ANXA6	16699.0376	19875.4417
ANXA7	2994.7507	3426.6784
ANXA8L1	0.0	0.0
ANXA8L2	0.0	1.7668
ANXA8	3.4996	6.1837
ANXA9	22.7472	26.5018
AOAH	48.9939	15.9011
AOC2	19.2476	19.4346
AOC3	17851.2686	21154.5936
AOX1	1115.4856	938.1625
AOX2P	0.0	0.0
AP1AR	577.4278	411.6608
AP1B1	1937.0079	1953.1802
AP1G1	1401.5748	1079.5053
AP1G2	95.5031	75.7244
AP1M1	1297.4628	1708.4806
AP1M2	0.0	0.0
AP1S1	279.965	342.7562
AP1S2	827.6465	740.2827
AP1S3	28.8714	6.1837
AP2A1	2128.1627	2571.2456
AP2A2	2124.2345	2042.4028
AP2B1	3714.7857	3864.841
AP2M1	8123.3596	10403.7102
AP2S1	902.0122	984.0989
AP3B1	1035.8705	1146.6431
AP3B2	6.1242	42.4028
AP3D1	3894.1382	3970.8481
AP3M1	1085.7393	1416.0777
AP3M2	345.5818	347.1731
AP3S1	1312.336	1696.9965
AP3S2	1297.2441	2203.0389
AP4B1	193.9545	232.076
AP4E1	596.6754	474.3816
AP4M1	361.3298	388.3834
AP4S1	188.1015	167.8445
APAF1	341.2073	200.53
APBA1	201.2248	222.6148
APBA2	25.3718	41.5194
APBA3	188.1015	218.1979
APBB1IP	289.5888	103.3569
APBB1	1692.0385	2529.1519
APBB2	1293.0884	1295.053
APBB3	194.2257	183.7456
APC2	2.6247	7.1201
APCDD1L	272.091	376.3251
APCDD1	764.6544	1136.9258
APCS	0.0	0.0
APC	1454.9431	1259.7173
APEH	1206.4742	1303.8869
APEX1	1893.2633	2073.3216
APEX2	298.3377	356.8905
APH1A	1276.4654	1200.53
APH1B	260.7174	278.2686
API5	2127.734	2535.3357
APIP	481.6623	352.5353
APITD1	140.8749	153.7102
APLF	115.4856	122.7915
APLNR	336.8329	356.0071
APLN	97.9878	69.788
APLP1	32.371	31.8021
APLP2	11793.5258	12916.0777
APOA1BP	1178.4777	1248.2332
APOA1	1.7498	1.7668
APOA2	0.0	0.0
APOA4	0.0	0.0
APOA5	0.0	0.0
APOB48R	129.4838	24.735
APOBEC1	0.0	0.0
APOBEC2	17.4978	4.417
APOBEC3A	96.1242	0.0
APOBEC3B	18.4864	5.3004
APOBEC3C	485.5643	429.3286
APOBEC3D	27.9965	21.2014
APOBEC3F	82.2397	74.2049
APOBEC3G	73.4908	129.8587
APOBEC3H	0.0	3.5336
APOBEC4	0.0	0.0
APOB	109.3613	108.6572
APOC1P1	0.0	0.0
APOC1	83.9895	27.3852
APOC2	0.8749	0.0
APOC3	0.0	0.0
APOC4	0.0	0.0
APOD	4525.8093	2469.0813
APOE	1267.7165	506.1837
APOF	0.0	0.0
APOH	0.0	0.0
APOL1	873.1409	748.2332
APOL2	750.6562	825.9717
APOL3	444.4444	424.9117
APOL4	180.2275	60.0707
APOL5	0.0	0.0
APOL6	650.9186	602.4735
APOLD1	1721.7848	984.0989
APOM	22.7472	32.6855
APOOL	210.8486	257.9505
APOO	98.8626	82.1555
APPBP2	1349.9563	1360.424
APPL1	1607.1741	1613.0742
APPL2	395.4506	379.8587
APP	23124.2345	25161.6608
APRT	733.1584	664.311
APTX	350.8311	391.3428
AQP10	1.7498	0.0
AQP11	8.7489	14.1343
AQP12A	0.0	0.0
AQP12B	0.0	0.0
AQP1	14787.3666	22484.9823
AQP2	9.6238	0.8834
AQP3	83.9895	56.5371
AQP4	2.6247	0.0
AQP5	5.2493	5.3004
AQP6	3.4996	0.0
AQP7P1	19.2476	26.5018
AQP7P3	0.8749	0.8834
AQP7	90.9886	53.0035
AQP8	0.0	0.8834
AQP9	112.8609	2.6502
AQPEP	37.6203	27.2792
AQR	1141.7323	808.3039
ARAF	1408.5739	1324.2049
ARAP1	1854.7682	2188.1625
ARAP2	83.9895	32.6855
ARAP3	232.7209	231.4488
ARCN1	4264.217	4595.4064
ARC	90.1137	10.6007
AREG	209.0989	11.4841
ARF1	7527.5591	8401.9435
ARF3	3299.2126	3415.1943
ARF4	4471.5661	3541.5194
ARF5	1486.4042	1666.0424
ARF6	1810.1487	1727.0318
ARFGAP1	1058.6177	1278.2686
ARFGAP2	1784.7769	1984.9823
ARFGAP3	1152.231	1025.6184
ARFGEF1	1276.4654	979.682
ARFGEF2	1487.3141	1303.8869
ARFIP1	836.3955	895.7597
ARFIP2	531.0586	588.3392
ARFRP1	780.4024	765.0177
ARG1	0.8749	0.0
ARG2	322.1785	188.1802
ARGFXP2	0.8749	0.0
ARGFX	0.0	0.0
ARGLU1	864.392	1131.6254
ARHGAP10	3252.8434	3848.9399
ARHGAP11A	73.4908	43.2862
ARHGAP11B	0.0	0.8834
ARHGAP12	538.9326	568.9046
ARHGAP15	81.3648	13.2509
ARHGAP17	916.0105	793.2862
ARHGAP18	320.21	163.4276
ARHGAP19	204.7244	163.4276
ARHGAP1	10677.1654	15186.3958
ARHGAP20	430.4462	480.5654
ARHGAP21	2911.636	2296.8198
ARHGAP22	68.2415	34.4523
ARHGAP23	2335.0831	1714.6643
ARHGAP24	1132.9834	965.5477
ARHGAP25	153.1059	59.1873
ARHGAP26	176.7279	147.5265
ARHGAP27	154.8556	83.9223
ARHGAP28	81.3648	33.5689
ARHGAP29	697.2878	537.1025
ARHGAP30	367.4541	127.2085
ARHGAP31	671.916	780.0353
ARHGAP32	170.6037	238.5159
ARHGAP33	182.8521	135.159
ARHGAP36	0.8749	0.0
ARHGAP39	59.4926	32.6855
